JourneyRef,Time,LineNumber,JourneyPointRef,StopPointId,ApcAlightingCount,AfcBoardingCount,AfcAlightingCount,UpstreamTimingPointAbbreviation,DownstreamTimingPointAbbreviation,LineDirectionCode,ApcBoardingCount
20200919L0326J0015,2020-09-19 16:51:36.0000000,326,20200919L0326J0015#046 ,8876,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:52:01.0000000,326,20200919L0326J0015#047 ,8877,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:52:33.0000000,326,20200919L0326J0015#048 ,8878,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:52:51.0000000,326,20200919L0326J0015#049 ,9549,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:53:18.0000000,326,20200919L0326J0015#050 ,8879,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:53:54.0000000,326,20200919L0326J0015#051 ,8880,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:54:22.0000000,326,20200919L0326J0015#052 ,8881,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:54:55.0000000,326,20200919L0326J0015#053 ,8882,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:55:56.0000000,326,20200919L0326J0015#054 ,8883,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:56:33.0000000,326,20200919L0326J0015#055 ,8884,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:56:55.0000000,326,20200919L0326J0015#056 ,8885,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:57:14.0000000,326,20200919L0326J0015#057 ,8958,0,0,0,AMGH,LYNS,1,0
20200919L0326J0015,2020-09-19 16:57:38.0000000,326,20200919L0326J0015#058 ,8886,0,0,0,LYNS,LYNS,1,0
20200919L0326J0015,2020-09-19 16:58:19.0000000,326,20200919L0326J0015#059 ,8887,0,0,0,LYNS,HNST,1,0
20200919L0326J0015,2020-09-19 16:59:00.0000000,326,20200919L0326J0015#060 ,8888,0,0,0,LYNS,HNST,1,0
20200919L0326J0015,2020-09-19 16:59:47.0000000,326,20200919L0326J0015#061 ,25152,0,0,0,LYNS,HNST,1,0
20200919L0326J0015,2020-09-19 17:02:49.0000000,326,20200919L0326J0015#062 ,52490,0,0,0,HNST,HNST,1,0
20200919L0326J0015,2020-09-19 17:04:28.0000000,326,20200919L0326J0015#063 ,52491,0,0,0,HNST,HUHL,1,0
20200919L0326J0015,2020-09-19 17:04:47.0000000,326,20200919L0326J0015#064 ,52488,0,0,0,HNST,HUHL,1,0
20200919L0326J0015,2020-09-19 17:05:27.0000000,326,20200919L0326J0015#065 ,8894,0,0,0,HNST,HUHL,1,0
20200919L0326J0015,2020-09-19 17:08:00.0000000,326,20200919L0326J0015#066 ,53349,1,0,0,HUHL,HUHL,1,0
20200919L0326J0018,2020-09-19 18:46:57.0000000,326,20200919L0326J0018#001 ,4679,0,2,0,HIST,HIST,1,6
20200919L0326J0018,2020-09-19 18:48:49.0000000,326,20200919L0326J0018#002 ,8329,0,0,0,HIST,ÅHP,1,0
20200919L0326J0018,2020-09-19 18:50:23.0000000,326,20200919L0326J0018#003 ,8330,0,4,0,HIST,ÅHP,1,6
20200919L0326J0018,2020-09-19 18:51:11.0000000,326,20200919L0326J0018#004 ,8331,0,0,0,HIST,ÅHP,1,0
20200919L0326J0018,2020-09-19 18:52:44.0000000,326,20200919L0326J0018#005 ,8838,0,0,0,HIST,ÅHP,1,0
20200919L0326J0018,2020-09-19 18:53:46.0000000,326,20200919L0326J0018#006 ,8839,3,0,2,HIST,ÅHP,1,0
20200919L0326J0018,2020-09-19 18:55:09.0000000,326,20200919L0326J0018#007 ,8336,7,0,4,HIST,ÅHP,1,0
20200919L0326J0018,2020-09-19 18:56:00.0000000,326,20200919L0326J0018#008 ,8337,0,0,0,ÅHP,ÅHP,1,0
20200919L0326J0018,2020-09-19 18:56:54.0000000,326,20200919L0326J0018#009 ,8338,0,0,0,ÅHP,PLSO,1,0
20200919L0326J0018,2020-09-19 18:57:53.0000000,326,20200919L0326J0018#010 ,30386,0,0,0,ÅHP,PLSO,1,0
20200919L0326J0018,2020-09-19 18:58:21.0000000,326,20200919L0326J0018#011 ,30033,0,0,0,ÅHP,PLSO,1,0
20200919L0326J0018,2020-09-19 18:58:57.0000000,326,20200919L0326J0018#012 ,30034,1,0,0,PLSO,PLSO,1,0
20200919L0326J0018,2020-09-19 19:03:59.0000000,326,20200919L0326J0018#013 ,8844,0,0,0,PLSO,MLØS,1,0
20200919L0326J0018,2020-09-19 19:04:39.0000000,326,20200919L0326J0018#014 ,8845,0,0,0,PLSO,MLØS,1,0
20200919L0326J0018,2020-09-19 19:05:49.0000000,326,20200919L0326J0018#015 ,8846,0,0,0,PLSO,MLØS,1,0
20200919L0326J0018,2020-09-19 19:06:42.0000000,326,20200919L0326J0018#016 ,8847,0,0,0,MLØS,MLØS,1,0
20200919L0326J0018,2020-09-19 19:07:57.0000000,326,20200919L0326J0018#017 ,8848,0,0,0,MLØS,STLY,1,0
20200919L0326J0018,2020-09-19 19:10:02.0000000,326,20200919L0326J0018#018 ,8850,0,0,0,MLØS,STLY,1,0
20200919L0326J0018,2020-09-19 19:12:44.0000000,326,20200919L0326J0018#019 ,8851,0,0,0,STLY,STLY,1,0
20200919L0326J0018,2020-09-19 19:13:21.0000000,326,20200919L0326J0018#020 ,8852,0,0,0,STLY,KAPP,1,0
20200919L0326J0018,2020-09-19 19:14:50.0000000,326,20200919L0326J0018#021 ,10580,0,0,0,STLY,KAPP,1,0
20200919L0326J0018,2020-09-19 19:17:07.0000000,326,20200919L0326J0018#022 ,8856,0,0,0,STLY,KAPP,1,0
20200919L0326J0018,2020-09-19 19:18:00.0000000,326,20200919L0326J0018#023 ,8857,0,0,0,KAPP,KAPP,1,0
20200919L0326J0018,2020-09-19 19:19:45.0000000,326,20200919L0326J0018#024 ,7900,0,0,0,KAPP,SKOF,1,0
20200919L0326J0018,2020-09-19 19:20:53.0000000,326,20200919L0326J0018#025 ,8717,0,0,0,KAPP,SKOF,1,0
20200919L0326J0018,2020-09-19 19:21:35.0000000,326,20200919L0326J0018#026 ,52744,0,0,0,KAPP,SKOF,1,0
